City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Kribi,CM,84.7,overcast clouds,2.95,9.9167,Mont neyanc
547,Sulya,IN,71.02,overcast clouds,12.5667,75.3833,Southern Residency
553,Sao Joao Da Barra,BR,86.09,few clouds,-21.6403,-41.0511,Pousada Mediterrâneo
561,Sadao,TH,78.62,heavy intensity rain,6.6388,100.4234,S.T. Hotel
563,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
566,Port Moresby,PG,76.51,overcast clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
577,Puerto Leguizamo,CO,78.64,broken clouds,-0.1934,-74.7819,Hotel Girasoles
579,Bundaberg,AU,70.21,light rain,-24.85,152.35,Young Australian Hotel
581,Sinnamary,GF,79.21,overcast clouds,5.3833,-52.95,Hôtel du fleuve
583,La Asuncion,VE,78.71,clear sky,11.0333,-63.8628,Hotel La Ciudad
590,Niamey,NE,85.03,overcast clouds,13.5137,2.1098,Redidence Croix du Sud
592,Itarema,BR,87.8,overcast clouds,-2.9248,-39.9167,Pousada Oásis
593,Padang,ID,77.05,moderate rain,-0.9492,100.3543,losmen Surya
598,Bangkalan,ID,76.95,broken clouds,-7.0455,112.7351,Ningrat traditional hotel
600,Praya,CV,77.54,few clouds,14.9215,-23.5087,Casa Sodadi
608,Puerto Ayacucho,VE,81.64,broken clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
619,Santa Isabel Do Rio Negro,BR,77.86,overcast clouds,-0.4139,-65.0192,Hotel Maikon
623,Sambava,MG,80.08,light rain,-14.2667,50.1667,Royal Sava Hôtel
629,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,The Abidah By Accra
632,Lazaro Cardenas,MX,71.42,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
635,Cozumel,MX,76.06,clear sky,20.5083,-86.9458,Hotel Isla Esmeralda
639,Tagusao,PH,78.76,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
644,Yulara,AU,86.16,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
646,Maua,BR,80.89,overcast clouds,-23.6678,-46.4614,Go Inn Santo André
649,Formosa,AR,71.58,light rain,-26.1775,-58.1781,Hotel Hostal del Rey
652,Nuevitas,CU,74.34,clear sky,21.5453,-77.2644,Hotel Caonaba
662,Keelung,TW,75.06,overcast clouds,25.1283,121.7419,華國商務飯店
663,Omboue,GA,82.49,light rain,-1.5746,9.2618,Georges Faustin Aurat
668,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Q-Hotel Grand Dafam
671,Upata,VE,74.98,overcast clouds,8.0086,-62.3989,Hotel Garibardi
681,Namibe,AO,78.15,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
684,Cairns,AU,78.06,light rain,-16.9167,145.7667,Cairns Queens Court Accommodation
685,Namatanai,PG,79.03,light rain,-3.6667,152.4333,Namatanai Hotel
688,Kawalu,ID,73.17,overcast clouds,-7.3817,108.2082,Hotel Surya
692,Sao Gabriel Da Cachoeira,BR,78.31,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
701,Mildura,AU,81.64,clear sky,-34.2,142.15,Chaffey Motor Inn
702,Trincomalee,LK,76.59,overcast clouds,8.5711,81.2335,Silver Star Inn
