City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Mapiripan,CO,2.8892,-72.1256,77.16,83,99,5.01,overcast clouds
339,Pontes E Lacerda,BR,-15.2261,-59.3353,83.57,65,100,9.53,overcast clouds
340,Gilgit,PK,35.9221,74.3087,25.41,70,62,3.11,broken clouds
341,Olafsvik,IS,64.8945,-23.7142,30.92,81,100,10.18,overcast clouds
342,Canyon Lake,US,29.8752,-98.2625,41.68,69,6,5.99,clear sky
343,Thunder Bay,CA,48.4001,-89.3168,-6.43,98,26,4.88,scattered clouds
344,Xicotencatl,MX,23.0167,-98.8833,55.56,36,0,7.85,clear sky
345,Mallapuram,IN,11.9667,78.25,67.8,58,97,3.87,overcast clouds
346,Necochea,AR,-38.5473,-58.7368,67.12,56,95,21.32,overcast clouds
347,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,74,0,32.21,clear sky
348,Arawa,PG,-6.2132,155.5367,76.37,90,100,1.86,overcast clouds
349,Narsaq,GL,60.9167,-46.05,10.62,79,23,6.22,few clouds
350,Kingisepp,RU,59.3733,28.6134,35.51,98,100,9.53,overcast clouds
351,San Cristobal,VE,7.7669,-72.225,76.98,54,79,4.45,broken clouds
352,Nagato,JP,34.3833,131.2,59.27,96,100,5.88,overcast clouds
353,Kozhevnikovo,RU,56.2589,83.9714,8.53,92,100,11.03,overcast clouds
354,Porto Velho,BR,-8.7619,-63.9039,71.65,94,75,3.44,moderate rain
355,Masuguru,TZ,-11.3667,38.4167,84.52,67,93,1.12,light rain
356,Pitimbu,BR,-7.4706,-34.8086,84.31,61,53,10.09,broken clouds
357,Ayan,RU,56.45,138.1667,-18.08,59,100,16.17,overcast clouds
358,Myre,NO,69.1036,15.9492,35.55,91,46,13.85,scattered clouds
359,Deputatskiy,RU,69.3,139.9,-39.05,96,98,5.32,overcast clouds
360,Tautira,PF,-17.7333,-149.15,79.52,81,100,23.42,light rain
361,Nanortalik,GL,60.1432,-45.2371,13.64,81,41,10.74,scattered clouds
362,Barnala,IN,30.3833,75.55,57.15,48,66,2.21,broken clouds
363,Plettenberg Bay,ZA,-34.0527,23.3716,70.7,71,27,7.4,scattered clouds
364,Utinga,BR,-5.8172,-35.3954,88.65,51,40,14.97,scattered clouds
365,Tunja,CO,5.5353,-73.3678,56.91,68,99,1.66,overcast clouds
366,Ulaanbaatar,MN,47.9077,106.8832,-25.47,68,0,2.24,clear sky
